disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,,,,
fowlcholera,splenomegaly,arthralgia,dyspnea,cyanosis,,,,,,
infectiousbronchitis,bronchitis,rhinorrhea,ovipause,,,,,,,
newcastledisease,dyspnea,rhinorrhea,opacification,immobilization,stoplying,,,,,
fowlfox,mycosis,ulceration,canker,ovulation,,,,,,
newcastledisease,dyspnea,rhinorrhea,opacification,immobilization,stoplying,,,,,
fowlfox,mycosis,ulceration,canker,ovulation,,,,,,
avianinfluenza,dyspnea,ovulation,diarrhoea,edema,cyanosis,petechiae,,,,
quaildisease,suddendeath,listless,disheveled,coccidiosis,kyphosis,,,,,
marek’sdisease,neoplasia,blindness,immobility,,,,,,,
botulism,tremors,asphyxiation,plucking,toxin,,,,,,
mushychiks,omphalitis,malaise,suppuration,distension,,,,,,
mushychiks,omphalitis,malaise,suppuration,distension,,,,,,
fowlfox,mycosis,ulceration,canker,ovulation,,,,,,
fowlcholera,splenomegaly,arthralgia,dyspnea,cyanosis,,,,,,
pullorum,inactivity,pasty,dyspnea,respiratorydistress,,,,,,
marek’sdisease,neoplasia,blindness,immobility,,,,,,,
infectiousbronchitis,bronchitis,rhinorrhea,ovipause,,,,,,,
thrush,caseation,dehydration,disheveled,,,,,,,_
infectiouscoryza,cephalitis,edema,epiphora,ovipause,dampness,,,,,
bumblefoot,inflammation,,,,,,,,,
infectiouscoryza,cephalitis,edema,epiphora,ovipause,dampness,,,,,
pullorum,inactivity,pasty,dyspnea,respiratorydistress,,,,,,
marek’sdisease,neoplasia,blindness,immobility,,,,,,,
bumblefoot,inflammation,,,,,,,,,
thrush,caseation,dehydration,disheveled,,,,,,,_
infectiouscoryza,cephalitis,edema,epiphora,ovipause,dampness,,,,,
marek’sdisease,neoplasia,blindness,immobility,,,,,,,
botulism,tremors,asphyxiation,plucking,toxin,,,,,,
infectiousbronchitis,bronchitis,rhinorrhea,ovipause,,,,,,,
bumblefoot,inflammation,,,,,,,,,
fowlcholera,splenomegaly,arthralgia,dyspnea,cyanosis,,,,,,
mushychiks,omphalitis,malaise,suppuration,distension,,,,,,
thrush,caseation,dehydration,disheveled,,,,,,,_
mushychiks,omphalitis,malaise,suppuration,distension,,,,,,
quaildisease,suddendeath,listless,disheveled,coccidiosis,kyphosis,,,,,
pullorum,inactivity,pasty,dyspnea,respiratorydistress,,,,,,
quaildisease,suddendeath,listless,disheveled,coccidiosis,kyphosis,,,,,
botulism,tremors,asphyxiation,plucking,toxin,,,,,,
bumblefoot,inflammation,,,,,,,,,
avianinfluenza,dyspnea,ovulation,diarrhoea,edema,cyanosis,petechiae,,,,
newcastledisease,dyspnea,rhinorrhea,opacification,immobilization,stoplying,,,,,
fowlfox,mycosis,ulceration,canker,ovulation,,,,,,
quaildisease,suddendeath,listless,disheveled,coccidiosis,kyphosis,,,,,
botulism,tremors,asphyxiation,plucking,toxin,,,,,,
fowlcholera,splenomegaly,arthralgia,dyspnea,cyanosis,,,,,,
infectiouscoryza,cephalitis,edema,epiphora,ovipause,dampness,,,,,
marek’sdisease,neoplasia,blindness,immobility,,,,,,,
thrush,caseation,dehydration,disheveled,,,,,,,_
bumblefoot,inflammation,,,,,,,,,
mushychiks,omphalitis,malaise,suppuration,distension,,,,,,
pullorum,inactivity,pasty,dyspnea,respiratorydistress,,,,,,
avianinfluenza,dyspnea,ovulation,diarrhoea,edema,cyanosis,petechiae,,,,
infectiousbronchitis,bronchitis,rhinorrhea,ovipause,,,,,,,
newcastledisease,dyspnea,rhinorrhea,opacification,immobilization,stoplying,,,,,
botulism,tremors,asphyxiation,plucking,toxin,,,,,,
avianinfluenza,dyspnea,ovulation,diarrhoea,edema,cyanosis,petechiae,,,,
infectiousbronchitis,bronchitis,rhinorrhea,ovipause,,,,,,,
