Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,
Avian Influenza,Dyspnea,Ovulation,Diarrhoea,Edema,Cyanosis,Petechiae,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,,
Bumblefoot,Inflammation,,,,,,
Fowl Cholera,Dyspnea,Arthralgia,Cyanosis,Splenomegaly,,,
Fowl Fox,Canker,Mycosis,Ovulation,Ulceration,,,
Infectious Bronchitis,Bronchitis,Ovipause,Rhinorrhea,,,,
Infectious Coryza,Cephalitis,Dampness,Edema,Epiphora,Ovipause,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,,
Mushy Chicks,Distension,Malaise,Omphalitis,Suppuration,,,
Newcastle Disease,Dyspnea,Immobilization,Opacification,Rhinorrhea,Stop lying,,
Pullorum,Dyspnea,Inactivity,Pasty,Respiratory distress,,,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listless,Sudden death,,
Thrush,Caseation,Dehydration,Disheveled,,,,
Fowl Cholera,Dyspnea,Arthralgia,Cyanosis,Splenomegaly,,,
Fowl Fox,Canker,Mycosis,Ovulation,Ulceration,,,
Infectious Bronchitis,Bronchitis,Ovipause,Rhinorrhea,,,,
Bumblefoot,Inflammation,,,,,,
Avian Influenza,Dyspnea,Ovulation,Diarrhoea,Edema,Cyanosis,Petechiae,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,,
Bumblefoot,Inflammation,,,,,,
Avian Influenza,Dyspnea,Ovulation,Diarrhoea,Edema,Cyanosis,Petechiae,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,,
Bumblefoot,Inflammation,,,,,,
Fowl Cholera,Dyspnea,Arthralgia,Cyanosis,Splenomegaly,,,
Fowl Fox,Canker,Mycosis,Ovulation,Ulceration,,,
Infectious Bronchitis,Bronchitis,Ovipause,Rhinorrhea,,,,
Infectious Coryza,Cephalitis,Dampness,Edema,Epiphora,Ovipause,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,,
Pullorum,Dyspnea,Inactivity,Pasty,Respiratory distress,,,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listless,Sudden death,,
Thrush,Caseation,Dehydration,Disheveled,,,,
Pullorum,Dyspnea,Inactivity,Pasty,Respiratory distress,,,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listless,Sudden death,,
Thrush,Caseation,Dehydration,Disheveled,,,,
Infectious Coryza,Cephalitis,Dampness,Edema,Epiphora,Ovipause,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,,
Mushy Chicks,Distension,Malaise,Omphalitis,Suppuration,,,
Newcastle Disease,Dyspnea,Immobilization,Opacification,Rhinorrhea,Stop lying,,
Pullorum,Dyspnea,Inactivity,Pasty,Respiratory distress,,,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listless,Sudden death,,
Thrush,Caseation,Dehydration,Disheveled,,,,
Avian Influenza,Dyspnea,Ovulation,Diarrhoea,Edema,Cyanosis,Petechiae,
Botulism,Tremors,Asphyxiation,Plucking,Toxin,,,
Bumblefoot,Inflammation,,,,,,
Fowl Cholera,Dyspnea,Arthralgia,Cyanosis,Splenomegaly,,,
Fowl Fox,Canker,Mycosis,Ovulation,Ulceration,,,
Infectious Bronchitis,Bronchitis,Ovipause,Rhinorrhea,,,,
Infectious Coryza,Cephalitis,Dampness,Edema,Epiphora,Ovipause,,
Marek’s Disease,Blindness,Immobility,Neoplasia,,,,
Mushy Chicks,Distension,Malaise,Omphalitis,Suppuration,,,
Newcastle Disease,Dyspnea,Immobilization,Opacification,Rhinorrhea,Stop lying,,
Pullorum,Dyspnea,Inactivity,Pasty,Respiratory distress,,,
Quail Disease,Coccidiosis,Disheveled,Kyphosis,Listless,Sudden death,,
Thrush,Caseation,Dehydration,Disheveled,,,,
Fowl Cholera,Dyspnea,Arthralgia,Cyanosis,Splenomegaly,,,
Fowl Fox,Canker,Mycosis,Ovulation,Ulceration,,,
